review_time,customer_id,product_id,rating,verified,review_text,summary
2015-02-06 00:00:00,1474411,246851,5,True,"Loved Loved Loved it!!  I laughed, I cried, it was totally fantastic.  Now on to book 3!!  Give this series a try.",Another great one!!
2014-07-04 00:00:00,2352,247002,5,True,"A wave of sadness came over her but she saw this one coming and dove under it, coming up on the other side still breathing.

This sentence is one of my favorites in The Drummers Widow. It demonstrates the strength of novelist Joanna FitzPatricks writing and of protagonist Marisa Bridgess character. All FitzPatricks characters have shortcomings. Some have complicated and messy backstories.

Recently widowed, the only way Marisa can financially hang on to her Manhattan loft is to take in renters. However, the goth with spiky orange hair and the aspiring jazz guitarist don't seem to have much in commonexcept music. Marisa, a veteran band manager, sees the potential in both her renters which eventually leads her to manage the band on a European tour. Will she be able to keep herself and the band together until the tour endsor even keep everybody alive?

FitzPatrick weaves a well-developed, very believable plot where the tension steadily ratchets up. Its an engrossing and satisfying read.",An engrossing and satisfying read
2018-01-24 00:00:00,245552,246966,5,True,Totally loved this second book in the series!  This theme of time travel for an unknown purpose has me spellbound!!  Onward to book 3,Fabulous
2017-01-31 00:00:00,1223770,248498,4,True,"This book deals with a horrible subject matter that unfortunately is becoming far to common in our every day lives. Dakota is a carefree 16 year old, she's popular, she has the perfect boyfriend, great friends  and an awesome family then bam! It all gets destroyed in one night! She's never quite the same after her fateful prom night. But she handles and copes with the hand she was dealt the best way she could.
Her sister Sam is amazing and so wise for her age and so strong to help her through it. Reece is just perfect, loyal, gorgeous, patient and understanding. Sophie her new best friend is very cool and they truly help each other.
She discovers some home truths about her perfect life that aren't very nice and makes changes, changes for the better and changes that help her heal.
It's really not an easy book to read at times but it's worth while in the end and highlights how to keep us and our friends and family safe.",Tough to Read!
2017-08-14 00:00:00,1504531,247888,5,False,"This is an amazing collection of herb uses both in medicine and magic. I've been looking for a reference book this complete for ages.

It even gives you all the instructions on how to use the herbs in multiple different ways. This is a book that will come in handy in more than one way!",This is an amazing collection of herb uses both in medicine and magic
2018-03-22 00:00:00,765423,247899,5,False,"Im anxious to listen to this book when it becomes available.

I wish there was a secret discussion group to talk about the book.",Spell binding
2017-01-24 00:00:00,1504773,248075,5,False,"Some novels have their decided beauty in them, this is one of them.

I confess that Because was not an usual read for me. I had my own insecurities and uncertainty that if I can read it and I'm glad that I made a choice to read it. It was a mesmeric effect on me. I found myself reading it day and night. Fantastic plot and engaging narration keeps telling me to be rooted to this book.

It is not only a motivational novel but it also tells you to go beyond your limits without making one sentimental. Dialogues are apt and precise. There's no beating that. It touches you. It uplifts you. It moves you. I kept myself relating to the characters one time or other. It has a fair sense of spirituality attached to it. The Best part? Well, I can get a message out of it what I wanted and at the same time, the message you'll get could be completely different. I think this is what makes a book commendable.

The cover starts to make sense and everything falls in its place. Beautifully narrated story, unforgettable characters, their spirits and enthusiasm lifts this one up in the top lists of Best Non-Fiction novels. His writing style is gripping and intriguing. There is no hesitation in reading the future works by the author.

Many novels come in your life. Some you forget and some you can't forget. But every single one of them have this common property : They change you, somehow. You can't explain how and what, but they do. "" Because "" has the same outcome. A better and positive outcome. It has impressed me to the core.

I would recommend 'Because' highly.",Highly recommended
2015-11-06 00:00:00,1512638,248158,5,False,"VH Leslie's is a writer who I first became aware of via her work in Black Static and Shadows & Tall Trees, in which her stories were consistently among the best featured. So I've been looking forward to her debut collection for a long time, and by god Skein & Bone from Undertow Publications doesn't disappoint. In fact, it's one of the best collections of quiet, strange horror I've read for a long time.

Namesake, the opening story, perhaps sums up Leslie's approach: the story of a woman named Burden, trying to lose her unfortunate surname by finding a husband is intricately constructed from the outset, with every detail note perfect. When Burden meets Blithe, a man at a bar, the reader knows her anticipated happy ending isn't on the cards, but the actual ending is both chillingly ambiguous and clear like fine crystal. Namesake showcases Leslie's skill both at wordplay and literary allusion, neither of which detract from the horrific denouement.

There are almost too many highlights in this collection: the deeply unsettling haunting in The Quiet Room; the fantastic allegory of The Cloud Cartographer, the dark, dark comedy of Ghost and the hotel-based psychological horror in The Blue Room. There's plenty of uncanny things happening in these stories but what makes the unease really hit home is the emotional charge behind them all. Grief, loss and missed opportunities haunt Leslie's characters as much as the supernatural or ghostly.

Many of the stories use as a central metaphor something that is handmade, traditionally crafted: old dresses in Skein & Bone, the decoration of a new house in Ulterior Design (with yellow wallpaper, natch), the cooking of preserves in Preservation. There's a similar feel to the stories themselves: these are handcrafted, every allusion and metaphor woven together to make something unique. For this reason, Leslie excels at the endings of her stories: both the literal and the symbolic come together. Indeed, in the perfect last line of Preservation you know longer know or care which is which.

Absorbing, subtle, scary, exquisite - you really, really need to read Skein & Bone.","Absorbing, subtle, scary, exquisite"
2017-08-21 00:00:00,232962,248759,5,True,"Great sequel to the first Manifest Delusions book. Fletcher proves that he can continue to write about horrible people in a crazy, fun fantasy environment with inspiration drawn from psychology and behavioral sciences. Great read. Highly recommend after reading Beyond Delusion.",Great Sequel.
2018-04-02 00:00:00,376989,249436,5,True,"Awesome installment in the series. Fast paced, action packed and fun to read.",Five Stars
